ID,municipi,participacio,sisi,sino,siblanc,no,blanc,altres,vots,poblacio
172240,Vilallonga de Ter,60.93%,93.67%,2.53%,1.27%,1.27%,0.00%,1.27%,237,389
172253,Vilamacolum,51.16%,93.18%,3.03%,3.03%,0.00%,0.00%,0.76%,132,258
172266,Vilamalla,35.73%,78.64%,8.67%,0.62%,5.88%,0.00%,6.19%,323,904
172272,Vilamaniscle,75.83%,95.60%,3.30%,0.00%,1.10%,0.00%,0.00%,91,120
172288,Vilanant,51.44%,91.30%,3.11%,3.11%,0.62%,1.86%,0.00%,161,313
172305,Vila-sacra,44.26%,83.68%,7.11%,1.26%,4.18%,0.42%,3.35%,239,540
172327,Vilopriu,54.91%,88.42%,5.26%,0.00%,1.05%,1.05%,4.21%,95,173
172333,Vilobí d'Onyar,59.69%,91.15%,3.73%,1.33%,1.33%,0.53%,1.93%,1503,2518
172348,Biure,53.05%,84.96%,5.31%,0.88%,1.77%,1.77%,5.31%,113,213
179011,Cruïlles. Monells i Sant Sadurní de l'Heura,60.13%,90.37%,2.95%,1.40%,1.24%,0.93%,3.11%,644,1071
179026,Forallac,63.97%,87.78%,5.51%,1.51%,2.16%,0.65%,2.38%,925,1446
179032,Sant Julià del Llor i Bonmatí,55.87%,93.70%,1.58%,0.70%,2.45%,0.18%,1.40%,571,1022
250019,Abella de la Conca,46.94%,92.75%,4.35%,0.00%,0.00%,1.45%,1.45%,69,147
250024,Àger,51.93%,83.69%,6.74%,2.48%,1.42%,2.84%,2.84%,282,543
250030,Agramunt,48.83%,87.56%,4.90%,1.90%,2.12%,0.62%,2.91%,2267,4643
250045,Alamús. els,62.03%,90.24%,2.93%,0.49%,2.68%,0.73%,2.93%,410,661
250058,Alàs i Cerc,52.10%,88.20%,6.21%,0.62%,0.00%,0.62%,4.35%,161,309
250061,Albagés. l',52.91%,86.00%,5.50%,0.50%,2.00%,1.00%,5.00%,200,378
250077,Albatàrrec,42.58%,82.37%,8.48%,0.54%,3.77%,0.67%,4.17%,743,1745
250083,Albesa,58.66%,87.99%,4.29%,1.23%,1.84%,0.61%,4.04%,816,1391
250096,Albi. l',58.21%,90.52%,3.55%,1.18%,1.90%,0.95%,1.90%,422,725
250100,Alcanó,68.37%,88.44%,7.48%,2.72%,1.36%,0.00%,0.00%,147,215
250117,Alcarràs,38.74%,84.37%,6.55%,1.08%,4.98%,0.80%,2.23%,2872,7414
250122,Alcoletge,41.37%,87.02%,6.58%,0.81%,2.61%,0.54%,2.43%,1109,2681
250138,Alfarràs,40.87%,79.26%,7.95%,2.71%,4.55%,0.97%,4.55%,1032,2525
250143,Alfés,70.18%,95.50%,2.00%,0.00%,1.50%,0.00%,1.00%,200,285
250156,Algerri,57.61%,90.04%,2.60%,1.73%,1.30%,1.73%,2.60%,231,401
250169,Alguaire,50.88%,91.76%,3.75%,0.30%,2.92%,0.75%,0.52%,1335,2624
250175,Alins,61.54%,88.13%,7.50%,1.25%,0.00%,1.25%,1.88%,160,260
250194,Almacelles,36.80%,79.73%,10.16%,1.10%,5.08%,0.34%,3.59%,2087,5671
250208,Almatret,60.98%,93.00%,2.00%,0.50%,0.00%,1.00%,3.50%,200,328
250215,Almenar,49.71%,88.74%,4.85%,1.62%,1.68%,0.78%,2.33%,1545,3108
250220,Alòs de Balaguer,53.72%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,65,121
250236,Alpicat,48.46%,84.06%,8.86%,1.12%,4.39%,0.62%,0.95%,2416,4986
250241,Alt Àneu,53.70%,91.13%,1.97%,3.94%,0.99%,1.48%,0.49%,203,378
250254,Naut Aran,26.67%,60.75%,12.00%,1.75%,13.75%,0.75%,11.00%,400,1500
250273,Anglesola,59.31%,88.57%,3.47%,0.87%,2.32%,0.58%,4.20%,691,1165
250292,Arbeca,55.92%,90.12%,3.65%,2.16%,1.08%,0.75%,2.24%,1205,2155
250306,Pont de Bar. el,55.84%,84.88%,9.30%,2.33%,0.00%,1.16%,2.33%,86,154
250313,Arres,14.29%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,56
250328,Arsèguel,58.82%,95.00%,2.50%,2.50%,0.00%,0.00%,0.00%,40,68
250334,Artesa de Lleida,61.76%,91.89%,3.09%,0.77%,2.06%,0.26%,1.93%,777,1258
250349,Artesa de Segre,52.35%,89.98%,4.31%,1.66%,0.98%,0.74%,2.34%,1626,3106
250352,Sentiu de Sió. la,56.31%,86.72%,4.15%,1.24%,3.32%,1.66%,2.90%,241,428
250365,Aspa,47.64%,71.43%,12.09%,4.40%,5.49%,1.10%,5.49%,91,191
250371,Avellanes i Santa Linya. les,58.06%,88.57%,2.86%,2.45%,2.04%,0.41%,3.67%,245,422
250387,Aitona,47.68%,86.25%,3.41%,0.72%,2.17%,1.86%,5.58%,967,2028
250390,Baix Pallars,52.50%,93.45%,3.57%,0.60%,1.79%,0.60%,0.00%,168,320
250404,Balaguer,38.60%,87.10%,5.44%,1.32%,3.55%,0.89%,1.70%,5295,13716
250411,Barbens,51.16%,85.60%,5.87%,1.60%,4.27%,0.80%,1.87%,375,733
250426,Baronia de Rialb. la,53.07%,89.26%,4.96%,0.00%,1.65%,0.00%,4.13%,121,228
250432,Vall de Boí. la,43.53%,89.17%,5.54%,1.26%,2.77%,0.50%,0.76%,397,912
250447,Bassella,53.74%,89.57%,4.35%,0.87%,2.61%,1.74%,0.87%,115,214
250450,Bausen,30.61%,86.67%,6.67%,0.00%,6.67%,0.00%,0.00%,15,49
250463,Belianes,63.22%,86.93%,4.58%,2.29%,1.63%,1.63%,2.94%,306,484
250479,Bellcaire d'Urgell,67.55%,91.86%,3.41%,1.31%,1.71%,0.26%,1.44%,762,1128
250485,Bell-lloc d'Urgell,51.92%,89.94%,3.85%,1.38%,1.28%,1.08%,2.47%,1014,1953
250498,Bellmunt d'Urgell,68.21%,79.66%,6.78%,2.54%,7.63%,3.39%,0.00%,118,173
250501,Bellpuig,53.79%,90.80%,3.30%,1.12%,1.70%,0.49%,2.59%,2240,4164
250518,Bellver de Cerdanya,46.05%,87.88%,4.66%,1.52%,1.05%,1.75%,3.15%,858,1863
250523,Bellvís,58.77%,91.16%,2.67%,1.75%,1.58%,1.42%,1.42%,1199,2040
250539,Benavent de Segrià,53.99%,90.55%,4.88%,0.61%,2.90%,0.00%,1.07%,656,1215
250557,Biosca,53.23%,85.86%,5.05%,2.02%,2.02%,1.01%,4.04%,99,186
250560,Bovera,66.55%,95.08%,3.28%,0.00%,0.00%,0.55%,1.09%,183,275
250576,Bòrdes. Es,25.96%,57.41%,12.96%,3.70%,16.67%,1.85%,7.41%,54,208
250582,Borges Blanques. les,55.47%,90.36%,4.15%,1.34%,1.69%,0.63%,1.83%,2841,5122
250595,Bossòst,21.90%,59.82%,11.87%,0.46%,22.37%,2.28%,3.20%,219,1000
250609,Cabanabona,53.49%,93.48%,0.00%,2.17%,0.00%,2.17%,2.17%,46,86
250616,Cabó,40.45%,97.22%,0.00%,0.00%,2.78%,0.00%,0.00%,36,89
250621,Camarasa,56.25%,90.78%,3.35%,2.10%,1.05%,1.26%,1.47%,477,848
250637,Canejan,14.58%,64.29%,28.57%,0.00%,7.14%,0.00%,0.00%,14,96
250642,Castellar de la Ribera,72.87%,91.49%,4.26%,0.00%,1.06%,0.00%,3.19%,94,129
250674,Castelldans,44.85%,83.08%,6.57%,1.26%,4.55%,1.01%,3.54%,396,883
250680,Castellnou de Seana,59.01%,92.37%,2.29%,0.51%,0.76%,0.76%,3.31%,393,666
250693,Castelló de Farfanya,53.41%,91.73%,3.38%,1.50%,1.88%,0.38%,1.13%,266,498
250707,Castellserà,65.26%,90.48%,3.55%,0.97%,1.61%,0.97%,2.42%,620,950
250714,Cava,31.58%,94.44%,0.00%,0.00%,0.00%,5.56%,0.00%,18,57
250729,Cervera,45.09%,87.43%,4.50%,1.13%,2.86%,0.83%,3.25%,3357,7445
250735,Cervià de les Garrigues,59.20%,92.43%,1.57%,0.26%,0.78%,3.92%,1.04%,383,647
250740,Ciutadilla,70.00%,86.47%,4.51%,0.00%,1.50%,3.76%,3.76%,133,190
250753,Clariana de Cardener,88.14%,88.46%,6.73%,0.00%,1.92%,0.96%,1.92%,104,118
250766,Cogul. el,60.23%,95.28%,3.77%,0.00%,0.00%,0.94%,0.00%,106,176
250772,Coll de Nargó,57.06%,91.30%,2.68%,2.01%,0.67%,1.34%,2.01%,299,524
250788,Corbins,57.87%,87.07%,6.39%,1.63%,2.23%,0.89%,1.78%,673,1163
250791,Cubells,54.57%,84.24%,5.42%,3.45%,3.45%,0.49%,2.96%,203,372
250812,Espluga Calba. l',63.94%,87.67%,7.05%,1.76%,1.76%,0.44%,1.32%,227,355
250827,Espot,46.05%,82.14%,8.57%,1.43%,2.86%,0.00%,5.00%,140,304
250851,Estaràs,58.50%,95.35%,2.33%,0.00%,1.16%,1.16%,0.00%,86,147
250864,Esterri d'Àneu,45.58%,92.59%,4.27%,0.85%,0.28%,0.57%,1.42%,351,770
250870,Esterri de Cardós,46.88%,83.33%,6.67%,3.33%,3.33%,3.33%,0.00%,30,64
250886,Estamariu,55.86%,95.16%,0.00%,1.61%,3.23%,0.00%,0.00%,62,111
250899,Farrera,46.15%,89.58%,2.08%,4.17%,2.08%,0.00%,2.08%,48,104
250925,Floresta. la,66.20%,95.74%,1.06%,3.19%,0.00%,0.00%,0.00%,94,142
250931,Fondarella,60.98%,85.88%,3.29%,0.94%,3.29%,0.94%,5.65%,425,697
250946,Foradada,50.60%,85.88%,8.24%,2.35%,0.00%,0.00%,3.53%,85,168
250962,Fuliola. la,55.47%,87.99%,2.80%,1.81%,2.63%,0.82%,3.95%,608,1096
250978,Fulleda,52.48%,86.79%,0.00%,5.66%,1.89%,5.66%,0.00%,53,101
250984,Gavet de la Conca,48.19%,87.97%,5.26%,1.50%,3.76%,0.00%,1.50%,133,276
250997,Golmés,56.07%,90.59%,4.46%,0.99%,1.98%,0.74%,1.24%,808,1441
251001,Gósol,57.49%,89.08%,3.36%,1.68%,1.68%,1.68%,2.52%,119,207
251018,Granadella. la,62.14%,91.75%,4.13%,1.46%,0.73%,1.46%,0.49%,412,663
251023,Granja d'Escarp. la,49.26%,79.54%,6.44%,1.15%,11.03%,0.69%,1.15%,435,883
251039,Granyanella,44.62%,89.66%,3.45%,0.00%,1.72%,0.00%,5.17%,58,130
